"x1","x2","x3","x4","y"
0.5822785,0.0126582,0.3797468,0.278481,0.222771790225304
0.8481013,0.1898734,0.9493671,0.2025316,0.105797542719626
0.4556962,0.8987342,0.3924051,0.8734177,0.70744153334129
0.7341772,0.7721519,0.5696203,0.164557,0.486242034790465
0.443038,0.443038,0.6582278,0.2278481,0.248010325071152
0.9493671,0.0759494,0.5443038,0.6455696,0.203972970742239
0.9620253,0.2278481,0.6329114,0.1139241,0.198036301746356
0.9113924,0.556962,0.3670886,0.0379747,0.427601678895791
0.4936709,0.3924051,0.3037975,1,0.480722350892999
0.0632911,0.5949367,0.5189873,0.7594937,0.470883990328891
0.8860759,0.1265823,0.0506329,0.3797468,0.468201934466021
0.2405063,0.5189873,0.7974684,0.6075949,0.28047600630121
0.0253165,0.8481013,0.443038,0.1898734,0.385565550899672
0.0886076,0.0379747,0.7088608,0.5316456,0.132859818443683
0.6455696,0.721519,0.2531646,0.5949367,0.687586688717891
0.3164557,0.3670886,0.1392405,0.4303797,0.544804744820952
0.2531646,0.9873418,0.6455696,0.835443,0.622916940096665
0.3797468,0.4936709,0.3291139,0.3924051,0.505627903647126
0.2025316,0.4556962,0.9746835,0.5063291,0.179333012988559
0.6962025,0.1392405,0.4556962,0.9873418,0.267095128152208
0,0.4303797,0.2405063,0.6962025,0.534292375847948
0.278481,0.835443,0.2658228,0.9240506,0.736654365454283
0.6075949,0.4683544,0.1265823,0.1012658,0.475964676911464
0.4683544,0.7468354,0.8101266,0.3670886,0.377844064439164
0.6329114,0.0886076,0.9240506,0.8987342,0.0994557829884643
0.8101266,0.8607595,0.1012658,0.6835443,0.812247130159544
0.1518987,0.5822785,0.8481013,0.1518987,0.121025250431558
0.9367089,0.6962025,0.7468354,0.7848101,0.40169544921401
0.3291139,0,0.6075949,0.7088608,0.156131535729851
0.3417722,0.9113924,0.5316456,0.3037975,0.592165114652502
0.556962,0.7974684,0.9873418,0.8227848,0.327461242117007
0.7848101,0.5316456,0.2151899,0.3164557,0.599462638602378
0.2151899,0.7088608,0.4683544,0.0886076,0.257163763741116
0.5949367,0.2658228,0.7341772,0.6582278,0.203440018632563
0.7721519,0.3797468,0.4303797,0.5822785,0.400292509125385
0.1392405,0.1012658,0.2911392,0.4683544,0.310702305402734
0.164557,0.9367089,0.0253165,0.6329114,0.85779670215418
0.8227848,0.9746835,0.3164557,0.1265823,0.725731437163987
0.3544304,0.6708861,0.1898734,0,0.317452109873506
0.6835443,0.3291139,1,0.3544304,0.133887975632311
0.2911392,0.6455696,0.9113924,0.5696203,0.285758464149936
0.7088608,0.9493671,0.7721519,0.2531646,0.50625647363962
0.9746835,0.4810127,0.4810127,0.8860759,0.430183486914724
0.7974684,0.0253165,0.8227848,0.8481013,0.107512994835548
0.1772152,0.7848101,0.164557,0.9746835,0.758694017225447
0.0379747,0.3544304,0.7848101,0.9113924,0.218381622401945
0.5696203,0.5443038,0.5822785,0.9620253,0.408816110834517
0.721519,0.2025316,0.1518987,0.7468354,0.458576379608056
0.4177215,0.5696203,0.9620253,0.6708861,0.232849363809966
0.1012658,0.8860759,0.9367089,0.4050633,0.360446401131948
0.8734177,0.7594937,0.4050633,0.721519,0.630217402936767
0.6708861,0.5063291,0.0379747,0.8101266,0.689146098201526
0.5063291,0.6075949,0.0886076,0.5189873,0.709693197863109
0.9873418,0.8227848,0.835443,0.4810127,0.421021455257268
0.2278481,0.0632911,0.1139241,0.2151899,0.257295312627201
0.1139241,0.2531646,0.2025316,0.8607595,0.458002160289913
0.5443038,0.3417722,0.0126582,0.1772152,0.520923581036321
0.5189873,0.9620253,0.8860759,0.7341772,0.472455764718413
0.4050633,0.8101266,0.721519,0.0632911,0.232983459624204
0.7594937,0.278481,0.8987342,0.0506329,0.0909853173884454
0.6202532,1,0.4936709,0.443038,0.702291713198362
0.9240506,0.9240506,0.1772152,0.5443038,0.807236865120104
0.7468354,0.6835443,0,0.4556962,0.78159556162453
0.6582278,0.8734177,0.6708861,0.0126582,0.320958375469731
0.1265823,0.4050633,0.556962,0.0253165,0.0739307312906141
0.5316456,0.1772152,0.6835443,0.4177215,0.184618304901918
0.4810127,0.0506329,0.2278481,0.0759494,0.166085054879739
0.0506329,0.164557,0.3417722,0.6202532,0.327958154564944
0.8987342,0.4177215,0.8734177,0.2911392,0.202636713733929
0.0126582,0.6582278,0.6202532,0.3417722,0.348846453075788
0.8607595,0.3037975,0.5949367,0.4936709,0.27656623165344
0.3037975,0.1139241,0.7594937,0.1392405,0.0655360466142545
1,0.6202532,0.278481,0.2405063,0.612991281586145
0.3924051,0.2911392,0.0632911,0.9493671,0.560495118342446
0.0759494,0.7341772,0.0759494,0.2658228,0.640987009162454
0.4303797,0.2151899,0.5063291,0.556962,0.274978628566936
0.1898734,0.3164557,0.3544304,0.7721519,0.4072790293665
0.835443,0.6329114,0.6962025,0.9367089,0.394874895534348
0.3670886,0.1518987,0.8607595,0.7974684,0.128349311480769
0.2658228,0.2405063,0.4177215,0.3291139,0.286783002700019
0.3797468,0.0126582,0.5822785,0.278481,0.13660357691426
0.9493671,0.1898734,0.8481013,0.2025316,0.133474267109315
0.3924051,0.8987342,0.4556962,0.8734177,0.676329425567444
0.5696203,0.7721519,0.7341772,0.164557,0.355762120415988
0.6582278,0.443038,0.443038,0.2278481,0.391008780877736
0.5443038,0.0759494,0.9493671,0.6455696,0.0913637091834464
0.6329114,0.2278481,0.9620253,0.1139241,0.0775095924590561
0.3670886,0.556962,0.9113924,0.0379747,0.0814512821514431
0.3037975,0.3924051,0.4936709,1,0.374062853016593
0.5189873,0.5949367,0.0632911,0.7594937,0.71906380400646
0.0506329,0.1265823,0.8860759,0.3797468,0.0911431589593772
0.7974684,0.5189873,0.2405063,0.6075949,0.587828887353101
0.443038,0.8481013,0.0253165,0.1898734,0.759586122608943
0.7088608,0.0379747,0.0886076,0.5316456,0.399357091419397
0.2531646,0.721519,0.6455696,0.5949367,0.468144002276662
0.1392405,0.3670886,0.3164557,0.4303797,0.429922726495528
0.6455696,0.9873418,0.2531646,0.835443,0.803433126485282
0.3291139,0.4936709,0.3797468,0.3924051,0.472953277764074
0.9746835,0.4556962,0.2025316,0.5063291,0.573185777431338
0.4556962,0.1392405,0.6962025,0.9873418,0.173168918951986
0.2405063,0.4303797,0,0.6962025,0.668089804815752
0.2658228,0.835443,0.278481,0.9240506,0.730948433818755
0.1265823,0.4683544,0.6075949,0.1012658,0.11587638234239
0.8101266,0.7468354,0.4683544,0.3670886,0.582074372752044
0.9240506,0.0886076,0.6329114,0.8987342,0.177423123532619
0.1012658,0.8607595,0.8101266,0.6835443,0.454912545789528
0.8481013,0.5822785,0.1518987,0.1518987,0.628043190096798
0.7468354,0.6962025,0.9367089,0.7848101,0.302395776935244
0.6075949,0,0.3291139,0.7088608,0.26072006547272
0.5316456,0.9113924,0.3417722,0.3037975,0.714740872606882
0.9873418,0.7974684,0.556962,0.8227848,0.56762372666199
0.2151899,0.5316456,0.7848101,0.3164557,0.238886047852604
0.4683544,0.7088608,0.2151899,0.0886076,0.494998859227405
0.7341772,0.2658228,0.5949367,0.6582278,0.260613877581388
0.4303797,0.3797468,0.7721519,0.5822785,0.231556235591973
0.2911392,0.1012658,0.1392405,0.4683544,0.397171649900352
0.0253165,0.9367089,0.164557,0.6329114,0.812863059652528
0.3164557,0.9746835,0.8227848,0.1265823,0.296404278303629
0.1898734,0.6708861,0.3544304,0,0.185205719175416
1,0.3291139,0.6835443,0.3544304,0.246579416646065
0.9113924,0.6455696,0.2911392,0.5696203,0.629421014376498
0.7721519,0.9493671,0.7088608,0.2531646,0.547571126807951
0.4810127,0.4810127,0.9746835,0.8860759,0.194962813825755
0.8227848,0.0253165,0.7974684,0.8481013,0.113224647226879
0.164557,0.7848101,0.1772152,0.9746835,0.753305399880005
0.7848101,0.3544304,0.0379747,0.9113924,0.610109769326601
0.5822785,0.5443038,0.5696203,0.9620253,0.415883329046287
0.1518987,0.2025316,0.721519,0.7468354,0.184723248620502
0.9620253,0.5696203,0.4177215,0.6708861,0.516647892804075
0.9367089,0.8860759,0.1012658,0.4050633,0.818982219627794
0.4050633,0.7594937,0.8734177,0.721519,0.366048678536306
0.0379747,0.5063291,0.6708861,0.8101266,0.339057048990028
0.0886076,0.6075949,0.5063291,0.5189873,0.473814185940285
0.835443,0.8227848,0.9873418,0.4810127,0.338112845152245
0.1139241,0.0632911,0.2278481,0.2151899,0.182589606817733
0.2025316,0.2531646,0.1139241,0.8607595,0.509152217156369
0.0126582,0.3417722,0.5443038,0.1772152,0.123523643554102
0.8860759,0.9620253,0.5189873,0.7341772,0.67640364586236
0.721519,0.8101266,0.4050633,0.0632911,0.513696290032764
0.8987342,0.278481,0.7594937,0.0506329,0.141458464706943
0.4936709,1,0.6202532,0.443038,0.635890807377652
0.1772152,0.9240506,0.9240506,0.5443038,0.42126176750243
0,0.6835443,0.7468354,0.4556962,0.360366539404857
0.6708861,0.8734177,0.6582278,0.0126582,0.332119335117043
0.556962,0.4050633,0.1265823,0.0253165,0.332167561590667
0.6835443,0.1772152,0.5316456,0.4177215,0.245295395008368
0.2278481,0.0506329,0.4810127,0.0759494,0.0656297456998915
0.3417722,0.164557,0.0506329,0.6202532,0.491880141634795
0.8734177,0.4177215,0.8987342,0.2911392,0.192977301736337
0.6202532,0.6582278,0.0126582,0.3417722,0.759222654049175
0.5949367,0.3037975,0.8607595,0.4936709,0.170493424398128
0.7594937,0.1139241,0.3037975,0.1392405,0.267890794256563
0.278481,0.6202532,1,0.2405063,0.163905834101665
0.0632911,0.2911392,0.3924051,0.9493671,0.373682228391638
0.0759494,0.7341772,0.0759494,0.2658228,0.640987009162454
0.5063291,0.2151899,0.4303797,0.556962,0.311823170958471
0.3544304,0.3164557,0.1898734,0.7721519,0.501533169420903
0.6962025,0.6329114,0.835443,0.9367089,0.321368658594312
0.8607595,0.1518987,0.3670886,0.7974684,0.314961534189358
0.4177215,0.2405063,0.2658228,0.3291139,0.384925527932145
0.278481,0.0126582,0.5822785,0.3797468,0.152505467130299
0.2025316,0.1898734,0.8481013,0.9493671,0.142188877816688
0.8734177,0.8987342,0.4556962,0.3924051,0.672190183536124
0.164557,0.7721519,0.7341772,0.5696203,0.443961957189209
0.2278481,0.443038,0.443038,0.6582278,0.42667324757603
0.6455696,0.0759494,0.9493671,0.5443038,0.0909778825011767
