"x1","x2","x3","x4","x5","x6","x7","x8","y"
0.0759,0.0886,0.3418,0.8734,0.0886,0.4177,0.4937,0.4557,27.8516949059541
0.962,0.0506,0.6962,0.5316,0.5949,0.5823,0.4304,0.8481,162.514029558264
0.6962,0.1013,0.8481,0.481,0.8987,0.7722,0.8734,0.9747,84.9931339305134
0.4557,0.2405,0.8228,0.8228,0.7848,0.1646,0.519,0.5696,82.9948093396727
0.1392,0.4937,0.2152,0.8101,0.4684,0.5443,0.2785,0.2025,33.2679826397901
0.2658,0.038,0.5443,0.0886,0.3544,0.8481,0.6456,0.6962,28.0628132645565
0.0127,0.4304,0.8734,0.9367,0.2532,0.5063,0.2152,0.5443,25.0748971111786
0.0886,0.5316,0.7975,0,0.5063,0.8228,0.9241,0.2532,13.2123681476266
0.9241,0.7089,0.8608,0.7975,0.0759,0.8734,0.7975,0.3671,120.229439709037
0.3418,0.5696,0.7342,0.8608,0.7215,0.2278,0.8608,0.7089,57.8281168122896
0.5949,0.7468,0.3165,0.7468,0.6582,0.2785,0.9114,0.557,88.0989051761404
0.2911,0.8481,0.8101,0.3038,0.9747,0.5696,0.0506,0.6456,49.6232503353967
0.0253,0.2658,0.6582,0.5949,0.6456,0.8861,0.3038,0.1139,17.2933410126384
0,0.6582,0.4304,0.3797,0.9241,0.6329,0.3671,0.7722,17.7372621862275
0.1519,0.3671,0.7468,0.557,0.8481,0.6582,1,0.6076,24.6586248590788
0.519,0.3797,0.2911,0.3165,0.2278,0.8987,0.4051,0,52.2234496306874
0.9367,0.9747,0.1772,0.0506,0.5316,0.4051,0.3418,0.5949,134.874885858742
0.8101,0.1519,0.5823,0.7848,0.1519,0.3038,0.2025,0.1519,153.189856134341
0.9873,0.8354,0.1013,0.7089,0.1899,0.6709,0.8101,0.519,141.107271070672
0.4051,0.5063,0.9494,0.5696,0.1772,0.3671,0.557,0.7975,65.162057506809
0.2405,0.1139,0.1392,0.7595,0.2405,0.0127,0.5949,0.9114,53.1554284834409
0.5823,0.6709,0.6835,0.8987,0.8734,0.0886,0.0127,0.3165,132.511742952635
0.3924,0.2278,0.4557,0.038,0.0506,0.557,0.8354,0.1266,36.1912275899195
0.2278,0.9241,0.2785,0.5823,1,0.4684,0.8481,0.3038,33.2647653680971
0.0633,0.9367,0.9114,0.7722,0.4051,0.9747,0.4177,0.7342,22.3761059050164
0.6835,0.3924,0.557,1,0.4557,0.1899,0.5696,0.3797,125.635776050047
0.3544,0.1266,0,0.3671,0.4937,0.1013,0.1392,0.5316,67.6184481018057
0.5063,0.9114,0.0759,0.519,0.1139,0.0759,0.2658,0.6835,96.8455733746305
0.1772,0.3291,0.8354,0.7215,0.3418,0.3797,0.0886,0.0633,40.6268707456085
0.7595,0.7848,0.1519,0.6076,0.8354,0.8101,0.2278,0.7468,120.915502969787
0.4304,0.7342,0.7089,0.2532,0.3797,0.4557,0.2911,0.9873,67.2559190938496
0.3038,0.6456,0.2532,0.9873,0.5696,0.3291,0.9747,0.962,53.607328679516
0.1139,0.2785,0.4177,0.9241,0,0.3165,0.6076,0.6582,33.1453656628618
